Customer_ID,Branch,City,Gender,Age,Profession,Account_Type,Account_Balance,Transaction_ID,Transaction_Type,Transaction_Amount,Transaction_Channel,Transaction_Date,Loan_Type,Loan_Amount,Credit_Score,Card_Type,Internet_Banking,Mobile_Banking,Customer_Since_Year,Last_Login_Days_Ago
100031,Kolkata,Noida,Male,48,Student,Current,339565.58,500031,Deposit,95197.71,Branch,44729,Personal Loan,131859.54,395,Credit,Yes,No,2018,31
100032,Delhi,Gurgaon,Male,68,Self-Employed,Current,96072.58,500032,Payment,30205.61,Branch,44779,None,1884884.87,609,Credit,No,Yes,2010,71
100033,Kolkata,Pune,Female,51,Salaried,Salary,17815.79,500033,Withdrawal,73487.78,Mobile App,45338,None,1681978.59,453,Debit,Yes,Yes,2008,90
100034,Kolkata,Bangalore,Female,22,Business,Salary,397242.4,500034,Withdrawal,143611.52,Mobile App,45337,Car Loan,1926187.51,897,None,No,Yes,2014,96
100035,Bangalore,Gurgaon,Male,28,Retired,Current,490815.75,500035,Payment,97124.12,ATM,44994,Car Loan,497304.17,406,None,Yes,Yes,2012,86
100036,Hyderabad,Gurgaon,Female,24,Salaried,Current,470402.99,500036,Deposit,145988.29,Mobile App,44741,Home Loan,962451.77,714,Debit,Yes,Yes,2008,70
100037,Kolkata,Bangalore,Male,25,Self-Employed,Salary,250899.03,500037,Payment,1549.73,ATM,45055,None,386087.62,449,None,No,No,2012,102
100038,Hyderabad,Delhi,Male,34,Business,Salary,264937.5,500038,Withdrawal,131187.56,Online,45355,Car Loan,844933.93,347,None,No,No,2023,28
100039,Mumbai,Delhi,Female,61,Student,Salary,465357.38,500039,Deposit,118630.44,Branch,45317,Education Loan,487377.73,377,Credit,No,No,2016,66
100040,Chennai,Faridabad,Female,67,Salaried,Current,272529.02,500040,Transfer,194880.48,Branch,44957,Education Loan,1705535.53,751,None,Yes,No,2006,97
100041,Hyderabad,Mumbai,Female,56,Business,Current,139554.79,500041,Withdrawal,181412.67,Mobile App,45170,Education Loan,243163.35,323,Credit,No,Yes,2005,16
100042,Hyderabad,Gurgaon,Male,58,Retired,Current,339117.83,500042,Payment,120105.11,Branch,45054,Education Loan,450189.56,678,Debit,No,No,2012,14
100043,Kolkata,Ghaziabad,Female,68,Retired,Salary,239121.94,500043,Withdrawal,115282.48,Branch,44881,Car Loan,528158.48,417,Credit,No,Yes,2007,113
100044,Pune,Bangalore,Female,31,Retired,Savings,392715.2,500044,Transfer,18604.82,Online,45272,Home Loan,1476379.51,580,None,Yes,No,2006,83
100045,Kolkata,Mumbai,Female,41,Business,Current,391870.08,500045,Deposit,188219.08,Branch,44936,Car Loan,1260743.3,346,Debit,No,Yes,2007,105
100046,Kolkata,Pune,Male,47,Salaried,Savings,468043.4,500046,Payment,141408.32,ATM,45409,Education Loan,272529.36,828,None,Yes,No,2010,35
100047,Bangalore,Bangalore,Male,68,Student,Savings,69772.34,500047,Withdrawal,100492.92,Branch,45227,Personal Loan,1211290.05,655,None,No,No,2023,56
100048,Pune,Faridabad,Male,69,Salaried,Current,261143.63,500048,Withdrawal,171504.16,ATM,44650,Education Loan,1692861.69,877,Credit,No,No,2008,21
100049,Chennai,Bangalore,Male,67,Student,Current,393144.6,500049,Payment,146166.73,ATM,44937,Home Loan,904447.54,408,Debit,No,No,2020,39
100050,Bangalore,Pune,Male,32,Salaried,Current,217985.87,500050,Deposit,112757.51,ATM,45108,None,1223664.07,745,Credit,Yes,Yes,2017,66
100051,Bangalore,Delhi,Female,21,Salaried,Salary,313815.07,500051,Transfer,107870.92,ATM,45180,None,1063949.13,473,Credit,Yes,No,2008,69
100052,Bangalore,Pune,Female,30,Business,Savings,408698.83,500052,Payment,185263.79,Online,44910,Education Loan,715638.67,815,None,No,Yes,2022,65
100053,Pune,Gurgaon,Male,22,Retired,Savings,237209.88,500053,Withdrawal,159840.21,Online,44995,Home Loan,5145.96,369,Credit,Yes,Yes,2020,103
100054,Mumbai,Delhi,Female,48,Retired,Savings,204732.54,500054,Transfer,80676.65,Branch,44795,Car Loan,372588.25,328,Credit,Yes,No,2016,112
100055,Chennai,Bangalore,Male,29,Retired,Savings,91097.92,500055,Deposit,125802.84,Online,45421,Home Loan,1894321.17,603,Debit,Yes,No,2019,73
100056,Mumbai,Mumbai,Male,47,Retired,Salary,412450.39,500056,Payment,39352.35,ATM,44705,Education Loan,709291.97,782,None,No,Yes,2017,82
100057,Mumbai,Noida,Male,66,Salaried,Current,398093.7,500057,Deposit,186658.12,Online,45156,Car Loan,594248.76,360,Debit,Yes,Yes,2021,76
100058,Chennai,Delhi,Male,27,Retired,Current,371832.07,500058,Transfer,139080.73,Mobile App,45241,None,1227799.97,608,Credit,Yes,Yes,2012,105
100059,Mumbai,Delhi,Male,47,Salaried,Salary,197264.66,500059,Deposit,192009.45,Mobile App,45335,Education Loan,1807593.07,501,None,No,Yes,2021,37
100060,Pune,Faridabad,Male,43,Student,Current,292012.14,500060,Transfer,58463.24,Online,45164,None,604924.09,443,Credit,No,No,2005,30
100061,Chennai,Noida,Female,61,Self-Employed,Savings,62869.4,500061,Withdrawal,63104.12,Mobile App,44628,Education Loan,446178.28,580,Credit,Yes,No,2016,90
100062,Hyderabad,Mumbai,Female,23,Self-Employed,Salary,160439.9,500062,Transfer,166438.73,Branch,45218,Car Loan,1803925.11,762,Debit,No,No,2011,85
100063,Hyderabad,Bangalore,Female,44,Student,Salary,218327.95,500063,Payment,52440.15,Mobile App,45361,Home Loan,1547012.47,747,None,Yes,No,2023,70
100064,Kolkata,Ghaziabad,Female,37,Salaried,Savings,22726.08,500064,Transfer,71593.51,Branch,44969,None,1405190.69,761,None,No,Yes,2017,13
100065,Bangalore,Ghaziabad,Female,45,Retired,Salary,52690.22,500065,Transfer,176871.98,Online,45236,Car Loan,1114383.8,369,Credit,No,No,2017,98
100066,Hyderabad,Bangalore,Female,37,Business,Savings,415032.52,500066,Withdrawal,103598.72,ATM,44657,None,851107.68,399,Debit,Yes,Yes,2016,7
100067,Hyderabad,Ghaziabad,Male,29,Salaried,Salary,485630.75,500067,Deposit,60147.21,Online,45126,Personal Loan,1275703.78,622,Credit,No,Yes,2014,38
100068,Mumbai,Gurgaon,Male,62,Salaried,Current,161673.09,500068,Withdrawal,81924.8,Branch,45453,Car Loan,433817.55,792,Debit,No,Yes,2012,31
100069,Chennai,Ghaziabad,Male,38,Student,Savings,54263.58,500069,Payment,142411.15,Mobile App,44970,Car Loan,1634710.1,582,Credit,No,Yes,2012,117
100070,Delhi,Gurgaon,Male,47,Student,Current,467760.78,500070,Transfer,31816.95,Online,45158,Home Loan,832791.22,828,Credit,No,No,2022,71
100071,Mumbai,Mumbai,Female,66,Business,Salary,457241.46,500071,Withdrawal,192435.81,Online,44968,Home Loan,1509480.23,799,None,No,No,2016,36
100072,Mumbai,Mumbai,Male,69,Retired,Salary,327674.63,500072,Payment,98634.73,Online,44616,Education Loan,1623367.93,427,Debit,Yes,Yes,2005,9
100073,Pune,Delhi,Female,27,Self-Employed,Salary,169956.75,500073,Deposit,153007.83,Branch,44568,Home Loan,150657.72,718,None,Yes,No,2022,105
100074,Chennai,Bangalore,Female,68,Retired,Salary,57172.56,500074,Withdrawal,140423.07,Mobile App,44822,Education Loan,1350900.12,624,None,No,No,2021,101
100075,Delhi,Ghaziabad,Female,22,Retired,Salary,469807.17,500075,Transfer,136179.65,Online,45412,Home Loan,605504.27,393,None,No,No,2008,85
100076,Delhi,Faridabad,Female,54,Salaried,Current,460269.89,500076,Withdrawal,84067.76,ATM,45180,Home Loan,717590.38,765,Credit,Yes,No,2019,82
100077,Kolkata,Mumbai,Female,25,Business,Savings,371857.86,500077,Withdrawal,8565.18,Branch,45272,Education Loan,1466880.05,767,None,No,Yes,2020,15
100078,Mumbai,Noida,Female,47,Salaried,Salary,467009.26,500078,Transfer,148315.25,Branch,45141,Personal Loan,1914796.22,838,None,Yes,Yes,2014,81
100079,Pune,Noida,Male,34,Student,Salary,70740.46,500079,Payment,190760.06,Mobile App,44567,Car Loan,1607328.16,471,Credit,Yes,No,2005,76
100080,Bangalore,Bangalore,Male,20,Self-Employed,Salary,55515.68,500080,Transfer,101055.18,ATM,45453,Education Loan,583393.85,380,Credit,Yes,No,2005,70
100081,Hyderabad,Bangalore,Male,38,Business,Current,96828.16,500081,Deposit,190770.98,Online,45430,Personal Loan,1415697.23,362,Credit,Yes,No,2022,9
100082,Mumbai,Mumbai,Male,33,Business,Salary,108530.68,500082,Withdrawal,107026.65,Mobile App,45379,Home Loan,655508.39,739,None,No,No,2017,69
100083,Bangalore,Delhi,Male,49,Retired,Salary,413757.39,500083,Payment,33557.15,Branch,45069,Education Loan,879186.51,435,Debit,Yes,Yes,2006,1
100084,Bangalore,Bangalore,Male,44,Salaried,Salary,460945.72,500084,Deposit,47969.11,ATM,45442,Personal Loan,246107,503,Credit,Yes,No,2011,15
100085,Chennai,Pune,Male,68,Retired,Savings,108579.58,500085,Transfer,172957.14,Online,44813,Personal Loan,1668580.93,654,Debit,Yes,Yes,2007,35
100086,Mumbai,Noida,Female,23,Retired,Savings,231884.68,500086,Payment,124343.61,Branch,44959,Car Loan,1293798.09,730,Credit,No,Yes,2021,98
100087,Chennai,Bangalore,Female,59,Business,Salary,227787.94,500087,Payment,82937.19,Online,45086,Home Loan,1725933.55,441,None,No,No,2011,98
100088,Kolkata,Noida,Male,33,Self-Employed,Savings,89757.12,500088,Transfer,159897.37,Mobile App,45185,None,447015.26,762,None,No,Yes,2023,94
100089,Bangalore,Pune,Male,62,Student,Salary,426820.27,500089,Payment,128377.64,ATM,45435,Personal Loan,258659.6,707,Credit,Yes,Yes,2021,7
100090,Delhi,Delhi,Female,20,Retired,Salary,261723.92,500090,Deposit,174469.81,Mobile App,44817,Education Loan,1630909.9,745,Credit,No,Yes,2008,43
100091,Bangalore,Pune,Male,57,Self-Employed,Savings,283553.11,500091,Payment,194191.5,Online,45447,Home Loan,1757953.31,496,Credit,Yes,No,2016,65
100092,Kolkata,Delhi,Female,37,Retired,Savings,129955.56,500092,Deposit,130282.32,Online,44632,None,343853.4,495,Credit,No,No,2013,77
100093,Bangalore,Delhi,Male,57,Self-Employed,Salary,280020.11,500093,Payment,194147.35,Branch,44966,None,1283795.28,685,Credit,Yes,Yes,2005,54
100094,Chennai,Faridabad,Female,24,Salaried,Savings,396477.41,500094,Withdrawal,94130.01,ATM,45298,None,330126.09,617,None,No,No,2023,81
100095,Mumbai,Delhi,Female,28,Student,Savings,153160.83,500095,Payment,168013.1,ATM,44956,Personal Loan,29077.23,822,None,No,Yes,2012,6
100096,Delhi,Delhi,Male,46,Business,Savings,57534.29,500096,Deposit,181298.32,Online,44567,Car Loan,1084661,888,Credit,No,Yes,2006,12
100097,Chennai,Delhi,Male,69,Salaried,Current,292436.04,500097,Withdrawal,9129.86,Online,44981,None,1900646.73,639,Credit,No,No,2013,8
100098,Hyderabad,Mumbai,Female,20,Retired,Current,318279.46,500098,Transfer,173031.84,Online,45148,None,1180987.97,832,Credit,No,No,2005,78
100099,Mumbai,Bangalore,Male,38,Retired,Current,101829.96,500099,Transfer,81796.96,Branch,45128,Education Loan,858256.77,842,None,Yes,No,2008,72
100100,Delhi,Bangalore,Male,49,Student,Current,124904.02,500100,Payment,79705.97,Online,44595,None,564103.41,458,Credit,No,Yes,2019,106
100101,Kolkata,Ghaziabad,Female,47,Student,Current,77381.37,500101,Withdrawal,156343.72,ATM,45039,Home Loan,562957.66,301,None,No,Yes,2022,67
100102,Bangalore,Mumbai,Female,56,Student,Salary,460769.36,500102,Payment,49342.04,ATM,45274,Car Loan,526156.31,566,None,Yes,No,2018,4
100103,Delhi,Ghaziabad,Male,28,Retired,Savings,107292.99,500103,Payment,6402.78,Branch,45400,Car Loan,418326.36,835,Debit,No,No,2014,103
100104,Pune,Faridabad,Male,34,Retired,Current,6308.42,500104,Withdrawal,54304.1,ATM,45366,None,133058.85,617,Credit,No,Yes,2006,73
100105,Hyderabad,Faridabad,Female,42,Business,Savings,420236.26,500105,Transfer,129723.24,Branch,45122,Personal Loan,1514168.14,650,Credit,Yes,No,2008,54
100106,Kolkata,Bangalore,Female,67,Student,Salary,401810.51,500106,Withdrawal,190690.44,Mobile App,44654,Personal Loan,630713.15,813,Credit,No,No,2021,19
100107,Mumbai,Bangalore,Female,42,Self-Employed,Savings,228810.95,500107,Deposit,79204.83,Online,44902,None,312126.3,517,None,Yes,Yes,2008,63
100108,Pune,Noida,Male,26,Business,Savings,398784.01,500108,Withdrawal,159528.56,Online,45345,None,1208395.78,482,Credit,No,Yes,2011,17
100109,Delhi,Pune,Female,62,Self-Employed,Salary,225358.73,500109,Transfer,40187.31,ATM,44715,Personal Loan,1868713.79,860,None,No,No,2023,49
100110,Kolkata,Pune,Male,46,Salaried,Salary,113032.73,500110,Withdrawal,170397.16,Online,44678,None,1376974.86,738,Debit,No,Yes,2008,53
100111,Mumbai,Mumbai,Female,32,Student,Savings,213601.22,500111,Deposit,153110.13,ATM,44784,Education Loan,383596.29,341,Credit,No,Yes,2014,88
100112,Pune,Ghaziabad,Male,36,Business,Savings,243950.27,500112,Withdrawal,89684,Online,44868,Education Loan,828246.59,671,Credit,Yes,Yes,2014,113
100113,Pune,Faridabad,Male,32,Business,Salary,5492.7,500113,Payment,178983.72,Branch,45066,None,1650324.76,794,None,Yes,Yes,2007,42
100114,Chennai,Faridabad,Female,56,Salaried,Current,57551.43,500114,Withdrawal,7669.84,Online,45148,Personal Loan,101282.88,376,Credit,No,Yes,2010,116
100115,Bangalore,Bangalore,Male,52,Salaried,Current,437507.78,500115,Withdrawal,157201.43,Branch,44913,Education Loan,673141.25,777,None,Yes,Yes,2019,114
100116,Kolkata,Mumbai,Female,57,Salaried,Current,196820.29,500116,Transfer,7136.98,Online,45419,Personal Loan,775671.28,677,None,No,Yes,2018,51
100117,Pune,Noida,Male,30,Business,Current,166402.12,500117,Payment,173012.73,Branch,44880,None,905248.17,875,Debit,Yes,No,2008,43
100118,Chennai,Bangalore,Male,33,Retired,Savings,444289.91,500118,Payment,35438.11,Branch,44621,None,1117294.48,662,Debit,Yes,Yes,2017,17
100119,Hyderabad,Bangalore,Male,20,Self-Employed,Current,78130.26,500119,Payment,7752.6,Mobile App,45238,None,987366.54,639,Credit,No,No,2007,92
100120,Hyderabad,Delhi,Female,48,Self-Employed,Current,109276.67,500120,Withdrawal,61826.37,ATM,45221,Education Loan,325357.69,327,None,Yes,No,2011,5
100121,Mumbai,Gurgaon,Female,18,Salaried,Salary,414147.31,500121,Deposit,35829.78,Online,45278,Car Loan,833879.41,502,None,No,No,2012,63
100122,Pune,Noida,Male,52,Retired,Salary,140547.68,500122,Transfer,130400.04,Online,44979,Car Loan,738044.63,884,None,Yes,No,2021,81
100123,Pune,Pune,Female,33,Retired,Salary,316982.9,500123,Withdrawal,94525.23,ATM,45261,Car Loan,1858643.14,591,None,Yes,No,2022,34
100124,Delhi,Bangalore,Male,18,Salaried,Salary,370046.26,500124,Transfer,26035.56,Branch,45426,Education Loan,1485644.08,433,None,Yes,Yes,2007,47
100125,Pune,Pune,Female,67,Student,Savings,112137.43,500125,Withdrawal,183235.86,Mobile App,44875,Personal Loan,1732161.61,327,Debit,Yes,No,2022,8
100126,Bangalore,Gurgaon,Female,31,Business,Savings,127450.5,500126,Payment,73622.09,ATM,45244,Car Loan,1419290.41,568,None,No,No,2015,62
100127,Mumbai,Noida,Male,24,Student,Savings,258631.25,500127,Transfer,56639.98,Online,44757,Car Loan,113747.21,426,Debit,No,No,2012,94
100128,Kolkata,Noida,Male,40,Retired,Current,396314.64,500128,Payment,139641.19,ATM,45127,Home Loan,948115.98,386,Credit,No,No,2009,90
100129,Pune,Delhi,Male,52,Salaried,Current,277634.39,500129,Withdrawal,78760.78,Mobile App,45017,None,1555965.97,346,Credit,No,No,2014,62
100130,Bangalore,Faridabad,Female,46,Business,Savings,34600.87,500130,Deposit,29186.31,Mobile App,44675,Car Loan,1182881.39,694,Debit,Yes,No,2007,69
100131,Pune,Ghaziabad,Male,39,Self-Employed,Current,176067.75,500131,Transfer,116516.99,Branch,45005,Car Loan,1517088.42,512,None,No,No,2013,108
100132,Chennai,Noida,Male,33,Retired,Current,165988.3,500132,Payment,6169.31,Online,45340,Personal Loan,1923868.36,850,None,No,No,2019,9
100133,Bangalore,Delhi,Female,46,Business,Current,403993.35,500133,Withdrawal,125472.46,Online,44755,None,494772.97,707,Credit,Yes,Yes,2014,37
100134,Chennai,Pune,Female,23,Business,Current,145542.16,500134,Payment,173524.08,Branch,44583,Education Loan,1966778.4,630,Credit,No,No,2009,16
100135,Mumbai,Gurgaon,Male,35,Student,Current,450707.51,500135,Withdrawal,52477.2,Branch,44565,Education Loan,241060.68,344,Credit,Yes,No,2019,68
100136,Pune,Mumbai,Male,46,Self-Employed,Salary,168157.12,500136,Payment,170478.77,ATM,44603,Home Loan,1840064.79,859,None,Yes,No,2016,102
100137,Delhi,Pune,Female,42,Student,Savings,97859.99,500137,Payment,49083.42,ATM,45034,Personal Loan,386379.77,597,Credit,Yes,No,2022,106
100138,Hyderabad,Bangalore,Female,62,Student,Savings,270430.01,500138,Withdrawal,40571.98,ATM,45125,Personal Loan,1438775.68,767,Debit,Yes,Yes,2023,29
100139,Bangalore,Mumbai,Female,19,Student,Current,193807.26,500139,Payment,143105.41,ATM,45117,None,1566592.32,358,None,No,Yes,2009,63
100140,Delhi,Faridabad,Female,61,Student,Current,324147.58,500140,Transfer,13195.28,Branch,44815,Personal Loan,1622274.05,584,Debit,Yes,Yes,2018,20
100141,Delhi,Mumbai,Male,49,Retired,Salary,457940.76,500141,Transfer,8222.93,Mobile App,45443,Home Loan,875430.19,553,Credit,No,Yes,2005,88
100142,Hyderabad,Noida,Male,53,Self-Employed,Savings,470446.92,500142,Withdrawal,91251.1,Mobile App,45149,None,338743.53,367,Credit,Yes,No,2019,89
100143,Bangalore,Gurgaon,Female,49,Student,Salary,114454.93,500143,Withdrawal,6915.23,ATM,45426,Personal Loan,1592066.56,797,None,Yes,No,2005,11
100144,Pune,Noida,Male,58,Retired,Salary,81973.37,500144,Payment,99386.11,ATM,44977,Personal Loan,1288914.32,893,Debit,Yes,No,2018,14
100145,Bangalore,Mumbai,Male,37,Retired,Savings,470038.58,500145,Withdrawal,129920.67,Branch,44631,Car Loan,515808.21,678,Credit,No,Yes,2010,104
100146,Delhi,Ghaziabad,Male,54,Business,Salary,406401.48,500146,Payment,45719.37,ATM,44668,Car Loan,785170.54,857,Debit,Yes,Yes,2005,65
100147,Kolkata,Pune,Female,59,Business,Salary,131576.32,500147,Transfer,179784.73,Online,44818,Home Loan,595239.92,423,None,No,No,2018,55
100148,Kolkata,Bangalore,Male,55,Salaried,Savings,402672.24,500148,Deposit,40135.7,Mobile App,45047,Car Loan,1829582.19,459,None,No,Yes,2006,40
100149,Bangalore,Mumbai,Female,50,Retired,Savings,370786.25,500149,Deposit,47575.49,ATM,45177,Personal Loan,1607402.8,650,Debit,No,Yes,2021,19
100150,Delhi,Bangalore,Male,69,Salaried,Savings,127527.44,500150,Withdrawal,182620.82,ATM,44791,Car Loan,1765061.23,563,Debit,No,No,2008,27
100151,Delhi,Ghaziabad,Female,22,Retired,Salary,452986.39,500151,Transfer,137539.62,Mobile App,45093,Personal Loan,103200.23,682,Credit,Yes,No,2013,79
100152,Mumbai,Mumbai,Female,23,Student,Current,161580.52,500152,Withdrawal,105774.4,Mobile App,45309,None,1322044.2,852,Credit,Yes,No,2023,60
100153,Delhi,Faridabad,Female,39,Student,Current,240609.36,500153,Withdrawal,66097.76,Online,44675,Car Loan,535205.7,702,Debit,No,No,2020,65
100154,Hyderabad,Gurgaon,Male,38,Salaried,Current,305021.51,500154,Transfer,153839.04,Online,44886,Home Loan,1496396.18,490,Debit,No,Yes,2015,24
100155,Kolkata,Ghaziabad,Male,36,Student,Salary,96440.36,500155,Deposit,117708.95,Branch,45110,Education Loan,1782176.44,821,None,No,No,2021,94
100156,Mumbai,Delhi,Male,60,Student,Salary,306032.72,500156,Payment,68451.33,Online,44921,Personal Loan,1531846.74,333,Debit,No,No,2005,19
100157,Pune,Faridabad,Male,32,Business,Current,353429.72,500157,Transfer,165212,Online,44740,Home Loan,1821714.73,547,None,Yes,Yes,2019,1
100158,Hyderabad,Noida,Male,51,Student,Savings,51672,500158,Withdrawal,158937.34,ATM,44563,Personal Loan,797451.2,648,None,Yes,No,2006,51
100159,Pune,Mumbai,Female,64,Business,Savings,190294.83,500159,Deposit,188177.53,ATM,45151,Personal Loan,1248322.67,734,None,No,Yes,2006,101
100160,Kolkata,Gurgaon,Male,24,Self-Employed,Salary,306417.74,500160,Transfer,198975.7,Online,44962,None,949711.06,583,Credit,No,Yes,2010,100
100161,Hyderabad,Gurgaon,Male,34,Retired,Current,463182.23,500161,Payment,2405.2,Branch,45123,Personal Loan,1660157.59,317,Credit,Yes,Yes,2013,106
100162,Chennai,Mumbai,Male,61,Business,Salary,445600.75,500162,Payment,64092.18,Branch,45283,Education Loan,1126133.32,395,Credit,Yes,Yes,2022,101
100163,Bangalore,Delhi,Male,61,Business,Salary,85663.99,500163,Deposit,38610.15,Mobile App,44706,Education Loan,1419735.92,719,Credit,Yes,No,2009,39
100164,Chennai,Pune,Female,22,Business,Current,305643.44,500164,Payment,42799.91,Online,45177,Education Loan,1261844.86,432,None,No,Yes,2012,11
100165,Bangalore,Pune,Female,69,Retired,Salary,49910.9,500165,Transfer,172976.69,Mobile App,44976,Home Loan,1724269.11,893,None,Yes,No,2019,71
100166,Kolkata,Ghaziabad,Female,56,Retired,Savings,147645.57,500166,Transfer,194988.5,Online,44617,None,1056598.84,302,Debit,Yes,No,2018,87
100167,Kolkata,Mumbai,Female,19,Retired,Savings,299037.86,500167,Deposit,188019.6,Online,45435,Home Loan,217648.91,689,Credit,No,No,2007,69
100168,Chennai,Bangalore,Male,44,Student,Current,41601.01,500168,Deposit,139324.56,ATM,45360,Home Loan,1897780.38,652,Debit,No,No,2021,95
100169,Hyderabad,Gurgaon,Female,62,Business,Salary,444542.17,500169,Payment,111035.97,Online,45365,Education Loan,1111871.84,615,None,Yes,No,2019,44
100170,Pune,Delhi,Male,41,Retired,Savings,414665.34,500170,Withdrawal,127636.57,ATM,45348,Home Loan,1565577.78,507,Debit,Yes,No,2019,96
100171,Bangalore,Pune,Female,58,Self-Employed,Current,237221.6,500171,Withdrawal,171150.16,Branch,44878,Personal Loan,1358066.86,621,Debit,No,Yes,2009,82
100172,Bangalore,Delhi,Female,64,Retired,Current,246385.37,500172,Deposit,1506.35,Branch,44977,Car Loan,863297.25,802,Credit,Yes,Yes,2005,12
